,Trial-ID,Status,Iteration,batch_size,hidden_unit1,hidden_unit2,lr_init,lstm_unit1,lstm_unit2,Objective
116,59,INTERMEDIATE,1,256.0,435.0,256.0,0.005,139.0,250.0,1.2121965004050212
117,59,COMPLETED,1,256.0,435.0,256.0,0.005,139.0,250.0,1.2121965004050212
118,60,INTERMEDIATE,1,128.0,310.0,496.0,0.0015009629520760452,113.0,182.0,0.9714992668317712
119,60,COMPLETED,1,128.0,310.0,496.0,0.0015009629520760452,113.0,182.0,0.9714992668317712
120,61,INTERMEDIATE,1,64.0,285.0,361.0,0.002225892565640898,20.0,65.0,4.095799435739932
121,61,COMPLETED,1,64.0,285.0,361.0,0.002225892565640898,20.0,65.0,4.095799435739932
122,62,INTERMEDIATE,1,256.0,417.0,443.0,0.005,39.0,243.0,0.7540684834770535
123,62,COMPLETED,1,256.0,417.0,443.0,0.005,39.0,243.0,0.7540684834770535
124,63,INTERMEDIATE,1,64.0,452.0,497.0,0.005,83.0,192.0,0.7237497023914171
125,63,COMPLETED,1,64.0,452.0,497.0,0.005,83.0,192.0,0.7237497023914171
126,64,INTERMEDIATE,1,256.0,462.0,338.0,0.005,49.0,250.0,0.9974541042162024
127,64,COMPLETED,1,256.0,462.0,338.0,0.005,49.0,250.0,0.9974541042162024
128,65,INTERMEDIATE,1,64.0,295.0,375.0,0.0005,20.0,245.0,0.9515593984852666
129,65,COMPLETED,1,64.0,295.0,375.0,0.0005,20.0,245.0,0.9515593984852666
130,66,INTERMEDIATE,1,64.0,388.0,512.0,0.005,222.0,124.0,0.7678346530250881
131,66,COMPLETED,1,64.0,388.0,512.0,0.005,222.0,124.0,0.7678346530250881
132,67,INTERMEDIATE,1,256.0,498.0,415.0,0.005,97.0,222.0,0.9230719441952913
133,67,COMPLETED,1,256.0,498.0,415.0,0.005,97.0,222.0,0.9230719441952913
134,68,INTERMEDIATE,1,64.0,428.0,445.0,0.005,250.0,180.0,0.7242149555164835
135,68,COMPLETED,1,64.0,428.0,445.0,0.005,250.0,180.0,0.7242149555164835
136,69,INTERMEDIATE,1,64.0,376.0,489.0,0.005,20.0,185.0,0.9360797249752543
137,69,COMPLETED,1,64.0,376.0,489.0,0.005,20.0,185.0,0.9360797249752543
138,70,INTERMEDIATE,1,256.0,512.0,286.0,0.005,152.0,58.0,0.9313640438992045
139,70,COMPLETED,1,256.0,512.0,286.0,0.005,152.0,58.0,0.9313640438992045
140,71,INTERMEDIATE,1,64.0,401.0,511.0,0.005,250.0,20.0,0.8469222291656162
141,71,COMPLETED,1,64.0,401.0,511.0,0.005,250.0,20.0,0.8469222291656162
142,72,INTERMEDIATE,1,128.0,505.0,478.0,0.003052857203545073,203.0,217.0,0.9903963545094365
143,72,COMPLETED,1,128.0,505.0,478.0,0.003052857203545073,203.0,217.0,0.9903963545094365
144,73,INTERMEDIATE,1,64.0,404.0,512.0,0.005,154.0,42.0,0.9813186293062957
145,73,COMPLETED,1,64.0,404.0,512.0,0.005,154.0,42.0,0.9813186293062957
146,74,INTERMEDIATE,1,256.0,342.0,386.0,0.005,250.0,20.0,0.9360017465508502
147,74,COMPLETED,1,256.0,342.0,386.0,0.005,250.0,20.0,0.9360017465508502
148,75,INTERMEDIATE,1,256.0,487.0,366.0,0.005,204.0,210.0,1.0034533168958581
149,75,COMPLETED,1,256.0,487.0,366.0,0.005,204.0,210.0,1.0034533168958581
150,76,INTERMEDIATE,1,256.0,390.0,314.0,0.005,139.0,250.0,0.767188549041748
151,76,COMPLETED,1,256.0,390.0,314.0,0.005,139.0,250.0,0.767188549041748
152,77,INTERMEDIATE,1,256.0,500.0,492.0,0.005,224.0,20.0,0.8775418141613835
153,77,COMPLETED,1,256.0,500.0,492.0,0.005,224.0,20.0,0.8775418141613835
154,78,INTERMEDIATE,1,64.0,256.0,344.0,0.005,250.0,190.0,0.7244739040084507
155,78,COMPLETED,1,64.0,256.0,344.0,0.005,250.0,190.0,0.7244739040084507
156,79,INTERMEDIATE,1,256.0,500.0,410.0,0.005,250.0,90.0,0.9234450044839279
157,79,COMPLETED,1,256.0,500.0,410.0,0.005,250.0,90.0,0.9234450044839279
158,80,INTERMEDIATE,1,64.0,256.0,418.0,0.005,132.0,157.0,0.9866421222686768
159,80,COMPLETED,1,64.0,256.0,418.0,0.005,132.0,157.0,0.9866421222686768
160,81,INTERMEDIATE,1,64.0,419.0,512.0,0.0005,250.0,250.0,0.9510376194249028
161,81,COMPLETED,1,64.0,419.0,512.0,0.0005,250.0,250.0,0.9510376194249028
162,82,INTERMEDIATE,1,64.0,323.0,301.0,0.003440018043491859,250.0,247.0,0.7245197918104089
163,82,COMPLETED,1,64.0,323.0,301.0,0.003440018043491859,250.0,247.0,0.7245197918104089
164,83,INTERMEDIATE,1,256.0,477.0,340.0,0.005,250.0,20.0,0.7239280446715977
165,83,COMPLETED,1,256.0,477.0,340.0,0.005,250.0,20.0,0.7239280446715977
166,84,INTERMEDIATE,1,256.0,492.0,307.0,0.005,250.0,112.0,0.7240323787150176
167,84,COMPLETED,1,256.0,492.0,307.0,0.005,250.0,112.0,0.7240323787150176
168,85,INTERMEDIATE,1,64.0,389.0,381.0,0.005,250.0,241.0,0.7247069141139155
169,85,COMPLETED,1,64.0,389.0,381.0,0.005,250.0,241.0,0.7247069141139155
170,86,INTERMEDIATE,1,64.0,336.0,370.0,0.005,250.0,169.0,0.7239019015560979
171,86,COMPLETED,1,64.0,336.0,370.0,0.005,250.0,169.0,0.7239019015560979
