,Trial-ID,Status,Iteration,batch_size,hidden_unit1,hidden_unit2,hidden_unit3,lr_init,lstm_unit,Objective
152,77,INTERMEDIATE,1,64.0,451.0,408.0,415.0,0.004235223386733652,95.0,0.872415216072746
153,77,COMPLETED,1,64.0,451.0,408.0,415.0,0.004235223386733652,95.0,0.872415216072746
154,78,INTERMEDIATE,1,256.0,435.0,415.0,377.0,0.004296348257983423,163.0,0.9427966553231945
155,78,COMPLETED,1,256.0,435.0,415.0,377.0,0.004296348257983423,163.0,0.9427966553231945
156,79,INTERMEDIATE,1,64.0,267.0,288.0,397.0,0.0009729041609861922,89.0,0.7790165310320647
157,79,COMPLETED,1,64.0,267.0,288.0,397.0,0.0009729041609861922,89.0,0.7790165310320647
158,80,INTERMEDIATE,1,64.0,302.0,270.0,460.0,0.001471072481038615,63.0,0.7206265589465266
159,80,COMPLETED,1,64.0,302.0,270.0,460.0,0.001471072481038615,63.0,0.7206265589465266
160,81,INTERMEDIATE,1,128.0,427.0,281.0,278.0,0.0031554211034794293,76.0,0.9741997200509777
161,81,COMPLETED,1,128.0,427.0,281.0,278.0,0.0031554211034794293,76.0,0.9741997200509777
162,82,INTERMEDIATE,1,128.0,487.0,509.0,451.0,0.0016099572033733264,243.0,0.8267270741255387
163,82,COMPLETED,1,128.0,487.0,509.0,451.0,0.0016099572033733264,243.0,0.8267270741255387
164,83,INTERMEDIATE,1,64.0,380.0,339.0,309.0,0.0028974068283239523,199.0,0.8753713006558625
165,83,COMPLETED,1,64.0,380.0,339.0,309.0,0.0028974068283239523,199.0,0.8753713006558625
166,84,INTERMEDIATE,1,256.0,334.0,389.0,466.0,0.0030842824502461154,181.0,0.9112450402715931
167,84,COMPLETED,1,256.0,334.0,389.0,466.0,0.0030842824502461154,181.0,0.9112450402715931
168,85,INTERMEDIATE,1,128.0,475.0,343.0,377.0,0.0028555895490555037,47.0,0.985525773919147
169,85,COMPLETED,1,128.0,475.0,343.0,377.0,0.0028555895490555037,47.0,0.985525773919147
170,86,INTERMEDIATE,1,256.0,400.0,431.0,374.0,0.0013615216967452848,247.0,0.9553712088128795
171,86,COMPLETED,1,256.0,400.0,431.0,374.0,0.0013615216967452848,247.0,0.9553712088128795
172,87,INTERMEDIATE,1,256.0,266.0,471.0,488.0,0.0012158887692506745,242.0,0.9843171731285427
173,87,COMPLETED,1,256.0,266.0,471.0,488.0,0.0012158887692506745,242.0,0.9843171731285427
174,88,INTERMEDIATE,1,64.0,446.0,316.0,262.0,0.0018486460617433537,247.0,0.8391486976457678
175,88,COMPLETED,1,64.0,446.0,316.0,262.0,0.0018486460617433537,247.0,0.8391486976457678
176,89,INTERMEDIATE,1,64.0,313.0,395.0,400.0,0.001089476292045115,232.0,0.8473458549250728
177,89,COMPLETED,1,64.0,313.0,395.0,400.0,0.001089476292045115,232.0,0.8473458549250728
178,90,INTERMEDIATE,1,128.0,453.0,417.0,416.0,0.0014777719954214865,101.0,0.953285839246667
179,90,COMPLETED,1,128.0,453.0,417.0,416.0,0.0014777719954214865,101.0,0.953285839246667
